leader,iso3,startyear,endyear,circle_id
Gabriel Boric,CHL,2022,2023,CIRC_00185
Nestor Kirchner,ARG,2003,2007,CIRC_00026
Jenny Shipley,NZL,1997,1999,CIRC_00619
Bill English,NZL,2016,2017,CIRC_00622
Christopher Luxon,NZL,2023,2023,CIRC_00625
Palmer,NZL,1989,1990,CIRC_00616
Chris Hipkins,NZL,2023,2023,CIRC_00624
Bolger,NZL,1990,1997,CIRC_00618
Moore,NZL,1990,1990,CIRC_00617
Helen Clark,NZL,1999,2008,CIRC_00620
Jacinda Ardern,NZL,2017,2023,CIRC_00623
Mauricio Macri,ARG,2015,2019,CIRC_00028
John Key,NZL,2008,2016,CIRC_00621
Hawke,AUS,1983,1991,CIRC_00036
Sanguinetti,URY,1985,1990,CIRC_00902
Lacalle de Herrera,URY,1990,1995,CIRC_00902
Sanguinetti,URY,1995,2000,CIRC_00902
Jorge Batlle,URY,2000,2005,CIRC_00902
Jose Mujica,URY,2010,2015,CIRC_00902
Luis Lacalle Pou,URY,2020,2023,CIRC_00902
Fernandez de Kirchner,ARG,2007,2015,CIRC_00027
Tabare Vazquez,URY,2005,2010,CIRC_00903
Tabare Vazquez,URY,2015,2020,CIRC_00903
Eduardo Duhalde,ARG,2002,2003,CIRC_00025
Alberto Fernandez,ARG,2019,2023,CIRC_00029
Javier Milei,ARG,2023,2023,CIRC_00030
Anthony Norman Albanese,AUS,2022,2023,CIRC_00041
Keating,AUS,1991,1996,CIRC_00037
Howard,AUS,1996,2007,CIRC_00037
Malcolm Turnbull,AUS,2015,2018,CIRC_00037
Scott Morrison,AUS,2018,2022,CIRC_00037
Frei Ruiz-Tagle,CHL,1994,2000,CIRC_00184
Ricardo Lagos Escobar,CHL,2000,2006,CIRC_00184
Michelle Bachelet,CHL,2006,2010,CIRC_00184
Sebastian Pinera,CHL,2010,2014,CIRC_00184
Michelle Bachelet,CHL,2014,2018,CIRC_00184
Sebastian Pinera,CHL,2018,2022,CIRC_00184
Adolfo Rodriguez Saa,ARG,2001,2002,CIRC_00024
Pinochet,CHL,1973,1990,CIRC_00182
Aylwin,CHL,1990,1994,CIRC_00183
Mandela,ZAF,1994,1999,CIRC_00739
Mbeki,ZAF,1999,2008,CIRC_00740
de la Rua,ARG,1999,2001,CIRC_00022
Pakalitha Mosisili,LSO,1998,2012,CIRC_00499
Pakalitha Mosisili,LSO,2015,2017,CIRC_00499
Mosisili,LSO,1998,2012,CIRC_00951
Letsie III,LSO,1994,1994,CIRC_00948
Letsie III,LSO,1994,1994,CIRC_00498
Lekhanya,LSO,1986,1991,CIRC_00495
Ntsokane Samuel Matekane,LSO,2022,2023,CIRC_00502
Tom Thabane,LSO,2012,2015,CIRC_00500
Tom Thabane,LSO,2017,2020,CIRC_00500
Thabane,LSO,2012,2015,CIRC_00964
Mokhehle,LSO,1993,1994,CIRC_00497
Mokhehle,LSO,1994,1998,CIRC_00497
Ramaema,LSO,1991,1993,CIRC_00496
Moeketsi Majoro,LSO,2020,2022,CIRC_00501
Menem,ARG,1989,1999,CIRC_00021
Zuma,ZAF,2009,2018,CIRC_00742
Ramon Puerta,ARG,2001,2001,CIRC_00023
Fernando Lugo,PRY,2008,2012,CIRC_00675
Rudd,AUS,2007,2010,CIRC_00038
Rudd,AUS,2013,2013,CIRC_00038
Mswati,SWZ,1986,2023,CIRC_00805
Cyril Ramaphosa,ZAF,2018,2023,CIRC_00743
deKlerk,ZAF,1989,1994,CIRC_00738
Motlanthe,ZAF,2008,2009,CIRC_00741
Rodriguez Pedotti,PRY,1989,1993,CIRC_00672
