iso3,family_ties,n_respondents
EGY,0.595518462649221,5960
ZWE,0.572044200869815,1994
PHL,0.56352272312887,3588
VEN,0.534510215468447,3548
NGA,0.534157888522021,6483
SLV,0.510030850714742,1235
PRI,0.507155648587589,1849
PAK,0.49147439469878,4671
JOR,0.470561417413595,2428
MLT,0.468751484069485,2821
MAR,0.448612437375135,2476
SGP,0.420368414537482,2992
GEO,0.413786240196868,3454
VNM,0.394961487012244,1948
SAU,0.384540654349001,2898
IDN,0.361193114610465,1926
BIH,0.33383909002813,4942
BRA,0.327006138318806,2894
UGA,0.314120747021905,1970
DZA,0.311793425822731,2470
COL,0.307039244689829,2986
ZAF,0.29642710482203,11273
MNE,0.293558750866344,3731
MKD,0.286001600545526,4379
TUR,0.276014018009978,12970
PER,0.26582066974359,4115
ALB,0.257118555320776,4257
CHL,0.244645196273816,4823
CYP,0.216024449116653,974
BGD,0.212703018391372,4446
ARM,0.211711526859657,3374
TZA,0.204777289717958,2198
DOM,0.170768234438149,408
KGZ,0.168950786178974,2070
IND,0.152807566842364,8115
ARG,0.116791896978944,4469
SRB,0.109357060702941,5004
MDA,0.100345208809995,4384
ROU,0.0954005935378298,4736
POL,0.0865691030542124,4413
MEX,0.0836136183236711,5831
TWN,0.0652035722441186,770
URY,0.0439395969848354,959
ESP,0.0316669562472316,10004
USA,0.0310756045647183,5481
IRN,0.0221088966674489,4308
UKR,0.00386562412769788,5088
PRT,-0.0104473925245505,3537
AZE,-0.0211146376538937,1946
CAN,-0.0221877192841949,5372
ITA,-0.0275449848773629,5216
FRA,-0.0381257130147221,3900
HUN,-0.0396160313283218,4054
KOR,-0.0409827111520718,4865
SVN,-0.0543268776035055,4095
AUS,-0.0839550938576083,1985
HRV,-0.0903092602804222,3415
GRC,-0.109886969673364,2547
IRL,-0.134479135680386,2779
BGR,-0.137620662430648,4370
GBR,-0.140850757840447,5402
SVK,-0.237668025561087,5168
BEL,-0.268512173515729,5781
RUS,-0.276137223420744,7194
NZL,-0.310831300142767,1009
BLR,-0.349123734308247,4973
CHE,-0.388982423811581,3494
LUX,-0.392488595410303,2603
CHN,-0.392945056900648,4269
ISL,-0.432944759215126,2350
AUT,-0.452046926469099,3945
CZE,-0.477612415145638,7407
EST,-0.55378446804049,4164
LVA,-0.563653590701403,4151
NOR,-0.572794335345039,3355
DEU,-0.598678730771079,8405
JPN,-0.652573924934738,3821
SWE,-0.661424776991693,5730
LTU,-0.704655587105534,4065
FIN,-0.753505005590016,3309
DNK,-0.820880258230786,3287
NLD,-0.911525080009734,3407
