iso3,mean_pop
AND,71382.2272727273
ATG,76925.5454545455
BHS,333919.863636364
BRB,267232.272727273
BLZ,261819.954545455
SLB,462307.318181818
BRN,341936.454545455
CPV,464851.954545455
DMA,68981.9545454546
KIR,94320.1818181818
GRD,108096.409090909
ISL,291571.090909091
LIE,33518.9545454545
LUX,455800.090909091
MDV,303634.136363636
MLT,396316.954545455
MCO,32416.3636363636
NRU,10124.6363636364
VUT,201078.409090909
FSM,109874.772727273
MHL,50460.4090909091
PLW,18748.0526315789
KNA,45080.9090909091
LCA,160396.409090909
VCT,112004.272727273
SMR,28615.2727272727
STP,156171.636363636
SYC,81774.4090909091
SUR,494282.545454546
TON,103938.818181818
TUV,9858.77272727273
WSM,184145.272727273
