row,col,b,se,sig
Leader_t-1,1,0.0479174503793076,0.0172012064435301,***
Leader_t,2,0.0430875396289679,0.0168857193759158,**
Leader_t-2,3,0.0460973605965172,0.0182102297945093,**
Leader_t-1,4,0.0247375390844988,0.00977277316480016,**
Light_t-1,4,0.556076111370376,0.0264128870623563,***
Leader_t-1,5,0.0739461394430349,0.0158376414622198,***
Light_t-1,5,0.942884210414533,0.00909766394542174,***
Leader_t-1,6,0.0345512606257274,0.0160182532837702,**
Leader_t-1,7,0.0263982091814371,0.00903741335689464,***
Pop,7,-0.534473758279866,0.0577313194046081,***
