row,col,b,se,sig,source
Leader_t-1,1,0.038,0.014,***,hr
Leader_t,2,0.039,0.015,***,hr
Leader_t-2,3,0.041,0.013,***,hr
Leader_t-1,4,0.019,0.01,***,hr
Light_t-1,4,0.4,0.023,***,hr
Leader_t-1,5,0.061,0.01,***,hr
Light_t-1,5,0.962,0.004,***,hr
Leader_t-1,6,0.029,0.013,***,hr
Leader_t-1,7,0.062,0.024,***,hr
Pop,7,0.958,0.066,***,hr
Leader_t-1,8,0.021,0.006,***,hr
Pop,8,0.201,0.049,***,hr
Leader_t-1,1,0.032,0.015,**,own
Leader_t,2,0.029,0.016,*,own
Leader_t-2,3,0.04,0.015,***,own
Leader_t-1,4,0.026,0.01,***,own
Light_t-1,4,0.408,0.025,***,own
Leader_t-1,5,0.05,0.008,***,own
Light_t-1,5,0.964,0.004,***,own
Leader_t-1,6,0.008,0.012,"",own
Leader_t-1,7,0.025,0.011,**,own
Pop,7,-0.714,0.067,***,own
Leader_t-1,8,0.013,0.006,**,own
Pop,8,-0.007,0.004,*,own
