col,b,se,sig,n_regions,n_obs,within_r2,source
1,0.049,0.024,**,520,9134,0.52,hr
2,0.026,0.01,**,2242,40157,0.602,hr
3,0.023,0.012,**,2220,39761,0.603,hr
4,0.043,0.01,***,64204,1048370,0.21,hr
5,0.028,0.011,**,17242,280210,0.298,hr
6,0.02,0.009,**,6101,101655,0.362,hr
7,0.005,0.009,"",2110,35889,0.449,hr
1,0.0244768805874956,0.0203067135466208,,718,11522,0.492578004098846,own
2,0.0174947907296931,0.0106427322743391,,2408,40936,0.649456193100066,own
3,0.0102116510460575,0.0124030713462058,,2408,40936,0.643615104956697,own
4,0.0358661683345198,0.0124628808637993,***,59891,988347,0.299397710696458,own
5,0.0191833287672285,0.0112671683395349,*,17393,286650,0.350250223858487,own
6,-0.000537137459523511,0.00921584067661679,"",5545,91132,0.396273002604937,own
7,-0.00435332059547746,0.00788542208485883,"",1993,32547,0.47826084371999,own
