GID_2,GID_0,year,pop_count,lnpop
AFG.1.1_1,AFG,1990,24015,3.17867863511679
AFG.1.2_1,AFG,1990,16513,2.80414794948085
AFG.1.3_1,AFG,1990,67561,4.21303089348784
AFG.1.4_1,AFG,1990,3814,1.33867850717823
AFG.1.5_1,AFG,1990,24972,3.2177551971995
AFG.1.6_1,AFG,1990,9697,2.27181655932241
AFG.1.7_1,AFG,1990,34836,3.55065133483049
AFG.1.8_1,AFG,1990,2966,1.08721424371574
AFG.1.9_1,AFG,1990,20638,3.02713403669352
AFG.1.10_1,AFG,1990,11485,2.44104183614106
AFG.1.11_1,AFG,1990,11114,2.40820557485773
AFG.1.12_1,AFG,1990,3734,1.31748004511953
AFG.1.13_1,AFG,1990,1186,0.170586300575534
AFG.2.1_1,AFG,1990,3578,1.27480398508653
AFG.2.2_1,AFG,1990,13159,2.577105935168
AFG.2.3_1,AFG,1990,18996,2.94422843068688
AFG.2.4_1,AFG,1990,2831,1.04063000612976
AFG.2.5_1,AFG,1990,23267,3.14703604764516
AFG.2.6_1,AFG,1990,24372,3.19343493238625
AFG.2.7_1,AFG,1990,31913,3.46301345028662
AFG.3.1_1,AFG,1990,33344,3.5068778461309
AFG.3.2_1,AFG,1990,63213,4.14650997620278
AFG.3.3_1,AFG,1990,4137,1.41997088747927
AFG.3.4_1,AFG,1990,21274,3.05748566982947
AFG.3.5_1,AFG,1990,4206,1.43651207728051
AFG.3.6_1,AFG,1990,25948,3.25609453535081
AFG.3.7_1,AFG,1990,20818,3.03581799709328
AFG.3.8_1,AFG,1990,12757,2.54608014055615
AFG.3.9_1,AFG,1990,35551,3.57096828524884
AFG.3.10_1,AFG,1990,36958,3.60978213275523
AFG.3.11_1,AFG,1990,102516,4.63001888395748
AFG.3.12_1,AFG,1990,11886,2.47536123694447
AFG.4.1_1,AFG,1990,59687,4.08911424124251
AFG.4.2_1,AFG,1990,41646,3.7292053255855
AFG.4.3_1,AFG,1990,20248,3.00805602324282
AFG.4.4_1,AFG,1990,27846,3.32668932948709
AFG.4.5_1,AFG,1990,48533,3.88224397893902
AFG.4.6_1,AFG,1990,37732,3.63050854078761
AFG.4.7_1,AFG,1990,9015,2.19888985665528
AFG.4.8_1,AFG,1990,38107,3.64039799229103
AFG.4.9_1,AFG,1990,33721,3.51812078868443
AFG.4.10_1,AFG,1990,427,-0.850971265753513
AFG.4.11_1,AFG,1990,282318,5.6430340951821
AFG.4.12_1,AFG,1990,29153,3.37255782345299
AFG.4.13_1,AFG,1990,60167,4.09712402925568
AFG.4.14_1,AFG,1990,17670,2.87186828633161
AFG.5.1_1,AFG,1990,28286,3.34236698259831
AFG.5.2_1,AFG,1990,21905,3.08671492126586
AFG.5.3_1,AFG,1990,14246,2.65647616555616
AFG.5.4_1,AFG,1990,39887,3.68605045627039
AFG.5.5_1,AFG,1990,29370,3.37997374521053
AFG.6.1_1,AFG,1990,87198,4.46818139487209
AFG.6.2_1,AFG,1990,24145,3.18407731932551
AFG.6.3_1,AFG,1990,22252,3.10243189221305
AFG.6.4_1,AFG,1990,33004,3.4966287662421
AFG.7.1_1,AFG,1990,7833,2.0583455783851
AFG.7.2_1,AFG,1990,10280,2.33020026002702
AFG.7.3_1,AFG,1990,18531,2.91944500538187
AFG.7.4_1,AFG,1990,29372,3.38004183958936
AFG.7.5_1,AFG,1990,10434,2.3450697046002
AFG.7.6_1,AFG,1990,6101,1.80845269216972
AFG.7.7_1,AFG,1990,7882,2.06458167877281
AFG.7.8_1,AFG,1990,14223,2.65486037258809
AFG.7.9_1,AFG,1990,14496,2.67387274930062
AFG.7.10_1,AFG,1990,8908,2.18694974939512
AFG.7.11_1,AFG,1990,5954,1.78406326259358
AFG.8.1_1,AFG,1990,18186,2.90065206730372
AFG.8.2_1,AFG,1990,16224,2.78649162740877
AFG.8.3_1,AFG,1990,38427,3.64876033751711
AFG.8.4_1,AFG,1990,14507,2.67463129155677
AFG.8.5_1,AFG,1990,6737,1.90761472197852
AFG.8.6_1,AFG,1990,93004,4.53264250298101
AFG.8.7_1,AFG,1990,16357,2.79465594027639
AFG.8.8_1,AFG,1990,9594,2.26113790307987
AFG.8.9_1,AFG,1990,27665,3.32016807635007
AFG.8.10_1,AFG,1990,15848,2.76304330939625
AFG.8.11_1,AFG,1990,42502,3.74955113364667
AFG.8.12_1,AFG,1990,30920,3.43140322371922
AFG.9.1_1,AFG,1990,25390,3.23435539571659
AFG.9.2_1,AFG,1990,30322,3.41187352165939
AFG.9.3_1,AFG,1990,157173,5.05734710951821
AFG.9.4_1,AFG,1990,45753,3.82325736334216
AFG.9.5_1,AFG,1990,45537,3.81852518231283
AFG.9.6_1,AFG,1990,172749,5.15183967391901
AFG.9.7_1,AFG,1990,28965,3.36608820454859
AFG.9.8_1,AFG,1990,122286,4.8063625635323
AFG.9.9_1,AFG,1990,191949,5.25722971174321
AFG.9.10_1,AFG,1990,79696,4.37821939633093
AFG.9.11_1,AFG,1990,51154,3.93484069070859
AFG.9.12_1,AFG,1990,36834,3.60642133167341
AFG.9.13_1,AFG,1990,103506,4.63962958203966
AFG.9.14_1,AFG,1990,168695,5.12809235070132
AFG.9.15_1,AFG,1990,12686,2.54049902321171
AFG.10.1_1,AFG,1990,60659,4.10526801679649
AFG.10.2_1,AFG,1990,32105,3.46901178124601
AFG.10.3_1,AFG,1990,28067,3.33459450899421
AFG.10.4_1,AFG,1990,6599,1.88691812240128
AFG.10.5_1,AFG,1990,31755,3.45805019325494
AFG.10.6_1,AFG,1990,26803,3.28851382155047
AFG.10.7_1,AFG,1990,18673,2.92707863023694
AFG.11.1_1,AFG,1990,30971,3.43305128277606
AFG.11.2_1,AFG,1990,6002,1.79209274701818
AFG.11.3_1,AFG,1990,34742,3.54794932967973
AFG.11.4_1,AFG,1990,25926,3.25524632617785
AFG.11.5_1,AFG,1990,41046,3.71469338900692
AFG.11.6_1,AFG,1990,20377,3.0144068138188
AFG.11.7_1,AFG,1990,35105,3.55834357046921
AFG.11.8_1,AFG,1990,44691,3.79977213906557
AFG.11.9_1,AFG,1990,18871,2.93762635214696
AFG.11.10_1,AFG,1990,36886,3.60783207526061
AFG.11.11_1,AFG,1990,9793,2.28166784473866
AFG.11.12_1,AFG,1990,26041,3.25967221906077
AFG.11.13_1,AFG,1990,10858,2.38490213548326
AFG.12.1_1,AFG,1990,14376,2.66556014948126
AFG.12.2_1,AFG,1990,5983,1.78892211440789
AFG.12.3_1,AFG,1990,7467,2.01049331205356
AFG.12.4_1,AFG,1990,22416,3.10977498959465
AFG.12.5_1,AFG,1990,23292,3.14810995397487
AFG.12.6_1,AFG,1990,36037,3.58454618843192
AFG.12.7_1,AFG,1990,147337,4.99272247997774
AFG.12.8_1,AFG,1990,158209,5.06391694372802
AFG.12.9_1,AFG,1990,16087,2.77801149240817
