GID_2,year,ln_rgdppc,lnpop,GID_0
AFG.1.12_1,1992,7.32781122182943,2.1910009070357,AFG
AFG.1.12_1,1993,7.24873327458884,2.09856485774742,AFG
AFG.1.12_1,1994,7.16965532734824,2.00612880845913,AFG
AFG.1.12_1,1995,7.09057738010764,1.91369275917084,AFG
AFG.1.12_1,1996,7.10681608400411,1.92952488616896,AFG
AFG.1.12_1,1997,7.12305478790058,1.94535701316708,AFG
AFG.1.12_1,1998,7.13929349179705,1.9611891401652,AFG
AFG.1.12_1,1999,7.15553219569352,1.97702126716331,AFG
AFG.1.12_1,2000,7.17177089958999,1.99285339416143,AFG
AFG.1.12_1,2001,7.24189797209566,2.00777208155906,AFG
AFG.1.12_1,2002,7.31202504460134,2.02269076895668,AFG
AFG.1.12_1,2003,7.38215211710701,2.0376094563543,AFG
AFG.1.12_1,2004,7.45227918961269,2.05252814375193,AFG
AFG.1.12_1,2005,7.52240626211837,2.06744683114955,AFG
AFG.1.12_1,2006,7.52240626211837,2.06744683114955,AFG
AFG.1.12_1,2007,7.52240626211837,2.06744683114955,AFG
AFG.1.12_1,2008,7.52240626211837,2.06744683114955,AFG
AFG.1.12_1,2009,7.52240626211837,2.06744683114955,AFG
AFG.1.1_1,1992,7.41133082160138,4.21977857685901,AFG
AFG.1.1_1,1993,7.26600365111187,4.1484691872113,AFG
AFG.1.1_1,1994,7.12067648062236,4.07715979756359,AFG
AFG.1.1_1,1995,6.97534931013285,4.00585040791588,AFG
AFG.1.1_1,1996,6.96230409786662,4.0192494948295,AFG
AFG.1.1_1,1997,6.94925888560039,4.03264858174312,AFG
AFG.1.1_1,1998,6.93621367333416,4.04604766865675,AFG
AFG.1.1_1,1999,6.92316846106793,4.05944675557037,AFG
AFG.1.1_1,2000,6.9101232488017,4.07284584248399,AFG
AFG.1.1_1,2001,6.98764518367652,4.08478522972371,AFG
AFG.1.1_1,2002,7.06516711855134,4.09672461696343,AFG
AFG.1.1_1,2003,7.14268905342616,4.10866400420315,AFG
AFG.1.1_1,2004,7.22021098830097,4.12060339144287,AFG
AFG.1.1_1,2005,7.29773292317579,4.13254277868258,AFG
AFG.1.1_1,2006,7.29773292317579,4.13254277868258,AFG
AFG.1.1_1,2007,7.29773292317579,4.13254277868258,AFG
AFG.1.1_1,2008,7.29773292317579,4.13254277868258,AFG
AFG.1.1_1,2009,7.29773292317579,4.13254277868258,AFG
AFG.1.2_1,1992,7.55274386544791,3.90210497292931,AFG
AFG.1.2_1,1993,7.36027906038275,3.89581406818302,AFG
AFG.1.2_1,1994,7.16781425531758,3.88952316343673,AFG
AFG.1.2_1,1995,6.97534945025242,3.88323225869044,AFG
AFG.1.2_1,1996,6.96230423650016,3.89661661793661,AFG
AFG.1.2_1,1997,6.94925902274791,3.91000097718277,AFG
AFG.1.2_1,1998,6.93621380899566,3.92338533642893,AFG
AFG.1.2_1,1999,6.92316859524341,3.93676969567509,AFG
AFG.1.2_1,2000,6.91012338149115,3.95015405492125,AFG
AFG.1.2_1,2001,6.98764531252569,3.96205422110202,AFG
AFG.1.2_1,2002,7.06516724356023,3.97395438728278,AFG
AFG.1.2_1,2003,7.14268917459477,3.98585455346354,AFG
AFG.1.2_1,2004,7.22021110562931,3.99775471964431,AFG
AFG.1.2_1,2005,7.29773303666385,4.00965488582507,AFG
AFG.1.2_1,2006,7.29773303666385,4.00965488582507,AFG
AFG.1.2_1,2007,7.29773303666385,4.00965488582507,AFG
AFG.1.2_1,2008,7.29773303666385,4.00965488582507,AFG
AFG.1.2_1,2009,7.29773303666385,4.00965488582507,AFG
AFG.1.8_1,1992,7.13813673612567,4.34550278699685,AFG
AFG.1.8_1,1993,7.16586445685893,4.27053438433949,AFG
AFG.1.8_1,1994,7.1935921775922,4.19556598168213,AFG
AFG.1.8_1,1995,7.22131989832546,4.12059757902477,AFG
AFG.1.8_1,1996,7.22749505677906,4.14298424983863,AFG
AFG.1.8_1,1997,7.23367021523266,4.16537092065249,AFG
AFG.1.8_1,1998,7.23984537368627,4.18775759146635,AFG
AFG.1.8_1,1999,7.24602053213987,4.21014426228021,AFG
AFG.1.8_1,2000,7.25219569059347,4.23253093309407,AFG
AFG.1.8_1,2001,7.28213112902625,4.255470154844,AFG
AFG.1.8_1,2002,7.31206656745903,4.27840937659393,AFG
AFG.1.8_1,2003,7.34200200589181,4.30134859834387,AFG
AFG.1.8_1,2004,7.37193744432459,4.3242878200938,AFG
AFG.1.8_1,2005,7.40187288275737,4.34722704184374,AFG
AFG.1.8_1,2006,7.40187288275737,4.34722704184374,AFG
AFG.1.8_1,2007,7.40187288275737,4.34722704184374,AFG
AFG.1.8_1,2008,7.40187288275737,4.34722704184374,AFG
AFG.1.8_1,2009,7.40187288275737,4.34722704184374,AFG
AFG.10.1_1,1992,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,1993,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,1994,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,1995,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,1996,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,1997,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,1998,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,1999,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,2000,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,2001,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,2002,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,2003,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,2004,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,2005,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,2006,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,2007,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,2008,6.6881146017583,5.09902101202436,AFG
AFG.10.1_1,2009,6.6881146017583,5.09902101202436,AFG
AFG.10.5_1,1992,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,1993,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,1994,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,1995,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,1996,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,1997,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,1998,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,1999,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,2000,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,2001,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,2002,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,2003,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,2004,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,2005,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,2006,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,2007,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,2008,6.50795874038787,4.44130468556461,AFG
AFG.10.5_1,2009,6.50795874038787,4.44130468556461,AFG
AFG.10.7_1,1992,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,1993,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,1994,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,1995,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,1996,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,1997,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,1998,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,1999,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,2000,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,2001,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,2002,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,2003,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,2004,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,2005,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,2006,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,2007,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,2008,6.59497033475482,3.89179905298699,AFG
AFG.10.7_1,2009,6.59497033475482,3.89179905298699,AFG
AFG.11.11_1,1992,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,1993,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,1994,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,1995,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,1996,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,1997,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,1998,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,1999,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,2000,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,2001,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,2002,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,2003,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,2004,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,2005,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,2006,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,2007,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,2008,6.6646216661198,5.39807792507365,AFG
AFG.11.11_1,2009,6.6646216661198,5.39807792507365,AFG
AFG.11.12_1,1992,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,1993,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,1994,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,1995,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,1996,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,1997,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,1998,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,1999,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,2000,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,2001,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,2002,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,2003,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,2004,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,2005,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,2006,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,2007,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,2008,6.69356127169441,5.0042600030461,AFG
AFG.11.12_1,2009,6.69356127169441,5.0042600030461,AFG
