iso3,year,polity,national_gdp,schooling,language,family_ties
AFG,1992,0.5,6.80673261865532,2.026,0.6141462,
AFG,1993,0.5,6.40023190963395,2.104,0.6141462,
AFG,1994,0.5,6.06953833132324,2.182,0.6141462,
AFG,1995,0.5,6.42943648608134,2.26,0.6141462,
AFG,1996,0.15,6.34729718004488,2.38,0.6141462,
AFG,1997,0.15,6.2682894969019,2.5,0.6141462,
AFG,1998,0.15,6.19619276653179,2.62,0.6141462,
AFG,1999,0.15,6.11862846574829,2.74,0.6141462,
AFG,2000,0.15,6.0583050931768,2.86,0.6141462,
AFG,2001,,6.00751603740899,2.93,0.6141462,
AFG,2002,,6.42178310111605,3,0.6141462,
AFG,2003,,6.55772792321628,3.07,0.6141462,
AFG,2004,,6.5463515148192,3.14,0.6141462,
AFG,2005,,6.65380976046844,3.21,0.6141462,
AFG,2006,,6.68391837794405,3.338,0.6141462,
AFG,2007,,6.7959037358912,3.466,0.6141462,
AFG,2008,,6.79538618720916,3.594,0.6141462,
AFG,2009,,6.92509957411322,3.722,0.6141462,
AFG,2010,,6.95521046980437,3.85,0.6141462,
AFG,2011,,,3.85,0.6141462,
AFG,2012,,,3.85,0.6141462,
AFG,2013,,,3.85,0.6141462,
AGO,1992,0.5,7.59325640920771,,0.7870192,
AGO,1993,0.45,7.39272268649267,,0.7870192,
AGO,1994,0.4,7.46369990266139,,0.7870192,
AGO,1995,0.35,7.56601068297966,,0.7870192,
AGO,1996,0.3,7.86726126362562,,0.7870192,
AGO,1997,0.2,7.69585243525343,,0.7870192,
AGO,1998,0.2,7.78569377513609,,0.7870192,
AGO,1999,0.2,7.78652341117507,,0.7870192,
AGO,2000,0.2,7.75441645324202,,0.7870192,
AGO,2001,0.2,7.69194038748813,,0.7870192,
AGO,2002,0.4,7.81757518293367,,0.7870192,
AGO,2003,0.4,7.80635866829348,,0.7870192,
AGO,2004,0.4,7.86274102997206,,0.7870192,
AGO,2005,0.4,8.02454366829368,,0.7870192,
AGO,2006,0.4,8.18831304276213,,0.7870192,
AGO,2007,0.4,8.40395853138152,,0.7870192,
AGO,2008,0.4,8.5109546221472,,0.7870192,
AGO,2009,0.4,8.54939796693242,,0.7870192,
AGO,2010,0.4,8.53847358590388,,0.7870192,
AGO,2011,0.4,,,0.7870192,
AGO,2012,0.4,,,0.7870192,
AGO,2013,0.4,,,0.7870192,
