iso3,year,aid,oil,polity
AFG,1992,9.16491980710452,,0.5
AFG,1993,8.88020011395891,,0.5
AFG,1994,9.02211593624394,,0.5
AFG,1995,8.73474829927432,,0.5
AFG,1996,8.46545238945426,,0.15
AFG,1997,8.80775300470531,,0.15
AFG,1998,8.43577455465134,,0.15
AFG,1999,8.56376865000157,,0.15
AFG,2000,8.37831028074343,,0.15
AFG,2001,9.67766399785937,,
AFG,2002,10.7450010536529,4.02711206531138,
AFG,2003,10.8964607618021,3.95078669985274,
AFG,2004,11.2046279968249,4.05669353980502,
AFG,2005,11.4024450679801,4.20021362608019,
AFG,2006,11.4649085967693,4.08936665850316,
AFG,2007,11.6727664715423,4.01369368060887,
AFG,2008,11.9292948699308,4.11203287289473,
AFG,2009,12.1392544963816,3.20661986137314,
AFG,2010,12.1888413108039,3.39681967281968,
AFG,2011,12.22022992657,3.71494628368092,
AFG,2012,12.1229211885475,6.57425485900705,
AFG,2013,11.8137130141898,6.06308016967911,
AGO,1992,9.65095474153675,12.1047217498631,0.5
AGO,1993,9.36984202413788,11.9527304379649,0.45
AGO,1994,9.73082734607883,11.8198088139948,0.4
AGO,1995,9.77887402319823,12.0187663638368,0.35
AGO,1996,9.94219222345801,12.2430301406186,0.3
AGO,1997,9.64801538133856,12.1799952823976,0.2
AGO,1998,9.55765670576219,11.4439982392868,0.2
AGO,1999,9.68492074142559,11.9269911246608,0.2
AGO,2000,9.40989345851291,12.6891897476851,0.2
AGO,2001,9.28551345271543,12.3338666330829,0.2
AGO,2002,9.71296872034212,12.6676489856158,0.4
AGO,2003,9.94090811113783,12.6359316500625,0.4
AGO,2004,10.9082572606429,13.0782965930497,0.4
AGO,2005,9.46254171482825,13.7168042032517,0.4
AGO,2006,7.78308548087978,13.9813168680087,0.4
AGO,2007,8.528086981343,14.2828560008682,0.4
AGO,2008,9.22343867125485,14.6848279435941,0.4
AGO,2009,8.74766273217177,13.8975183133721,0.4
AGO,2010,8.78065932077271,14.2516129955618,0.4
AGO,2011,8.49255065373583,14.5096770588239,0.4
AGO,2012,8.57212161792792,14.4873396269639,0.4
AGO,2013,8.61135794903578,14.3161485093447,0.4
ALB,1992,10.9971131890887,9.14816222792969,0.75
ALB,1993,10.370873753396,9.18308240228787,0.75
ALB,1994,9.97901040535381,9.09693919031374,0.75
ALB,1995,10.0636907479597,9.26557703346052,0.75
ALB,1996,10.5352220173156,9.38020946869126,0.5
ALB,1997,10.5006272878924,8.97843002561861,0.75
ALB,1998,10.3109455245077,7.57134480322237,0.75
ALB,1999,11.3131528958186,8.56159395206141,0.75
ALB,2000,10.738420359484,9.42826327108572,0.75
ALB,2001,10.799739507788,9.13614286060226,0.75
ALB,2002,10.9705941198566,9.2272094328414,0.85
