leader,iso3,startyear,endyear,birth_gid2,birthplace_name
Abdoulkarim,COM,1996,1998,COM.2_1,Mbéni
Abdullah ibn Abdilaziz,SAU,1996,2015,SAU.7_1,Riyadh
Ahern,IRL,1997,2008,IRL.6_1,Dublin
Ariel Sharon,ISR,2001,2006,ISR.4_1,Kfar Malal
Dhoinine,COM,2011,2015,COM.3_1,Mohéli
Fahd,SAU,1982,1996,SAU.7_1,Riyadh
Giuma Ahmed Atigha,LBY,2013,2013,LBY.12_1,Benghazi
Goh Chok Tong,SGP,1990,2004,SGP.1_1,Singapore
Gruevski,MKD,2006,2014,MKD.10_1,Skopje
Hamad ibn Khalifah Al Thani,QAT,1995,2013,QAT.1_1,Doha
Hamada Madi,COM,2002,2002,COM.3_1,Mohéli
Iurie Leanca,MDA,2013,2015,MDA.11_1,Cimișlia
Lee Hsien Loong,SGP,2004,2015,SGP.1_1,Colony of Singapore
Letsie III,LSO,1994,1994,LSO.5_1,Morija
Lucinschi,MDA,1997,2001,MDA.18_1,Rădulenii Vechi
Massounde,COM,1998,1999,COM.1_1,Domoni
Mohammed Magariaf,LBY,2012,2013,LBY.12_1,Benghazi
Mosisili,LSO,1998,2012,LSO.8_1,Qacha's Nek District
Navin Ramgoolam,MUS,2005,2014,MUS.8_1,Port Louis
Netanyahu,ISR,1996,1999,ISR.7_1,Tel Aviv
Netanyahu,ISR,2009,2015,ISR.7_1,Tel Aviv
Niyazov,TKM,1990,2006,TKM.1_1,Gypjak
Nouri Abusahmain,LBY,2013,2014,LBY.10_1,Zaltan
Olmert,ISR,2006,2009,ISR.3_1,Nahalat Jabotinsky
Paul Berenger,MUS,2003,2005,MUS.7_1,Curepipe
Perez Molina,GTM,2012,2015,GTM.7.17_1,Guatemala City
Pirlog,MDA,2009,2009,MDA.24_1,Nisporeni
Qaddafi,LBY,1969,2011,LBY.12_1,Benghazi
Radmila Sekerinska,MKD,2004,2004,MKD.10_1,Skopje
Radmila Sekerinska,MKD,2004,2004,MKD.10_1,Skopje
Salva Kiir,SSD,2011,2015,SSD.8.1_1,Bahr el Ghazal
Tamim ibn Hamad Al Thani,QAT,2013,2015,QAT.1_1,Doha
Tassos Nikolaou Papadopoulos,CYP,2003,2008,CYP.4_1,"Ayios Antonios, Nicosia"
Thabane,LSO,2012,2015,LSO.5_1,Maseru
Vlad Filat,MDA,2009,2013,MDA.21_1,Lăpușna
