leader,iso3,startyear,endyear,lat,lon
Abdoulkarim,COM,1996,1998,-11.5,43.38333333
Abdulla Yameen Abdul Gayoom,MDV,2013,2015,4.175,73.508333333333
Abdullah ibn Abdilaziz,SAU,1996,2015,24.65,46.71
Ahern,IRL,1997,2008,53.3497222222222,-6.26027777777778
Ariel Sharon,ISR,2001,2006,32.1679,34.895097222222
Azali Assoumani,COM,1999,2002,-11.816667,43.266667
Azali Assoumani,COM,2002,2006,-11.816667,43.266667
Dhoinine,COM,2011,2015,-12.3166666666667,43.7333333333333
Dimitris Christofias,CYP,2008,2013,35.26672245,33.32229621
Djohar,COM,1989,1995,-15.716666666667,46.316666666667
Djohar,COM,1996,1996,-15.716666666667,46.316666666667
Fahd,SAU,1982,1996,24.65,46.71
Giuma Ahmed Atigha,LBY,2013,2013,32.116666666667,20.066666666667
Goh Chok Tong,SGP,1990,2004,1.3,103.8
Gruevski,MKD,2006,2014,41.9961111111111,21.4316666666667
Guelleh,DJI,1999,2015,9.5833333333333,41.866666666667
Hamad ibn Khalifah Al Thani,QAT,1995,2013,25.2861111111111,51.5294444444445
Hamada Madi,COM,2002,2002,-12.3166666666667,43.7333333333333
Iurie Leanca,MDA,2013,2015,46.52,28.784166666667
Lee Hsien Loong,SGP,2004,2015,1.3,103.85
Letsie III,LSO,1994,1994,-29.63111111,27.50583333
Lucinschi,MDA,1997,2001,47.98333333,28.26666667
Massounde,COM,1998,1999,-12.258611,44.530278
Maumoon Abdul Gayoom,MDV,1978,2008,4.175,73.508333333333
Mohammed Magariaf,LBY,2012,2013,32.116666666667,20.066666666667
Mosisili,LSO,1998,2012,-30,28.75
Nasheed,MDV,2008,2012,4.175,73.508333333333
Navin Ramgoolam,MUS,2005,2014,-20.161944444444,57.498888888889
Netanyahu,ISR,1996,1999,32.08,34.78
Netanyahu,ISR,2009,2015,32.08,34.78
Niyazov,TKM,1990,2006,38,58.250555555556
Nouri Abusahmain,LBY,2013,2014,32.933333333333,12.083333333333
Olmert,ISR,2006,2009,32.5261149,34.9481832
Paul Berenger,MUS,2003,2005,-20.316666666667,57.516666666667
Perez Molina,GTM,2012,2015,14.6416666666667,-90.5133333333333
Pirlog,MDA,2009,2009,47.081388888889,28.178333333333
Qaddafi,LBY,1969,2011,32.116666666667,20.066666666667
Rabin,ISR,1992,1995,31.776679,35.234156
Radmila Sekerinska,MKD,2004,2004,41.9961111111111,21.4316666666667
Radmila Sekerinska,MKD,2004,2004,41.9961111111111,21.4316666666667
Salva Kiir,SSD,2011,2015,8,28
Tamim ibn Hamad Al Thani,QAT,2013,2015,25.2861111111111,51.5294444444445
Tassos Nikolaou Papadopoulos,CYP,2003,2008,35.16506033,33.37052721
Ter-Petrosyan,ARM,1991,1998,36.2,37.16
Thabane,LSO,2012,2015,-29.31,27.48
Vlad Filat,MDA,2009,2013,46.884166666667,28.411944444444
