iso3,status,source
AFG,ok_ADM2,gadm
AGO,ok_ADM2,gadm
ALB,ok_ADM2,gadm
ARE,ok_ADM2,gadm
ARG,ok_ADM2,gadm
ARM,ok_ADM2,geoboundaries
AUS,ok_ADM2,gadm
AUT,ok_ADM2,gadm
AZE,ok_ADM2,gadm
BDI,ok_ADM2,gadm
BEL,ok_ADM2,gadm
BEN,ok_ADM2,gadm
BFA,ok_ADM2,gadm
BGD,ok_ADM2,gadm
BGR,ok_ADM2,gadm
BHR,ok_ADM1,gadm
BHS,ok_ADM2,geoboundaries
BIH,ok_ADM2,gadm
BLR,ok_ADM2,gadm
BLZ,ok_ADM2,geoboundaries
BOL,ok_ADM2,gadm
BRA,ok_ADM2,gadm
BRB,ok_ADM1,gadm
BRN,ok_ADM2,gadm
BTN,ok_ADM2,gadm
BWA,ok_ADM2,gadm
CAF,ok_ADM2,gadm
CAN,ok_ADM2,gadm
CHE,ok_ADM2,gadm
CHL,ok_ADM2,gadm
CHN,ok_ADM2,gadm
CIV,ok_ADM2,gadm
CMR,ok_ADM2,gadm
COD,ok_ADM2,gadm
COG,ok_ADM2,gadm
COL,ok_ADM2,gadm
COM,ok_ADM2,geoboundaries
CPV,ok_ADM2,geoboundaries
CRI,ok_ADM2,gadm
CUB,ok_ADM2,gadm
CYP,ok_ADM2,geoboundaries
CZE,ok_ADM2,gadm
DEU,ok_ADM2,gadm
DNK,ok_ADM2,gadm
DOM,ok_ADM2,gadm
DZA,ok_ADM2,gadm
ECU,ok_ADM2,gadm
EGY,ok_ADM2,gadm
ERI,ok_ADM2,gadm
ESP,ok_ADM2,gadm
EST,ok_ADM2,gadm
ETH,ok_ADM2,gadm
FIN,ok_ADM2,gadm
FJI,ok_ADM2,gadm
FRA,ok_ADM2,gadm
GAB,ok_ADM2,gadm
GBR,ok_ADM2,gadm
GEO,ok_ADM2,gadm
GHA,ok_ADM2,gadm
GIN,ok_ADM2,gadm
GMB,ok_ADM2,gadm
GNB,ok_ADM2,gadm
GNQ,ok_ADM2,gadm
GRC,ok_ADM2,gadm
GTM,ok_ADM2,gadm
GUY,ok_ADM2,gadm
HKG,no_adm,
HND,ok_ADM2,gadm
HRV,ok_ADM2,gadm
HTI,ok_ADM2,gadm
HUN,ok_ADM2,gadm
IDN,ok_ADM2,gadm
IND,ok_ADM2,gadm
IRL,ok_ADM2,gadm
IRN,ok_ADM2,gadm
IRQ,ok_ADM2,gadm
ISL,ok_ADM2,gadm
ISR,ok_ADM2,geoboundaries
ITA,ok_ADM2,gadm
JAM,ok_ADM2,geoboundaries
JOR,ok_ADM2,gadm
JPN,ok_ADM2,gadm
KAZ,ok_ADM2,gadm
KEN,ok_ADM2,gadm
KGZ,ok_ADM2,gadm
KHM,ok_ADM2,gadm
KOR,ok_ADM2,gadm
KWT,ok_ADM2,geoboundaries
LAO,ok_ADM2,gadm
LBN,ok_ADM2,gadm
LBR,ok_ADM2,gadm
LBY,ok_ADM1,gadm
LKA,ok_ADM2,gadm
LSO,ok_ADM2,geoboundaries
LTU,ok_ADM2,gadm
LUX,ok_ADM2,gadm
LVA,ok_ADM2,gadm
MAR,ok_ADM2,gadm
MDA,ok_ADM1,gadm
MDG,ok_ADM2,gadm
MEX,ok_ADM2,gadm
MKD,ok_ADM2,geoboundaries
MLI,ok_ADM2,gadm
MLT,ok_ADM2,gadm
MMR,ok_ADM2,gadm
MNE,ok_ADM1,gadm
MNG,ok_ADM2,gadm
MOZ,ok_ADM2,gadm
MRT,ok_ADM2,gadm
MUS,ok_ADM1,gadm
MWI,ok_ADM2,gadm
MYS,ok_ADM2,gadm
NAM,ok_ADM2,gadm
NER,ok_ADM2,gadm
NGA,ok_ADM2,gadm
NIC,ok_ADM2,gadm
NLD,ok_ADM2,gadm
NOR,ok_ADM2,gadm
NPL,ok_ADM2,gadm
NZL,ok_ADM2,gadm
OMN,ok_ADM2,gadm
PAK,ok_ADM2,gadm
PAN,ok_ADM2,gadm
PER,ok_ADM2,gadm
PHL,ok_ADM2,gadm
PNG,ok_ADM2,gadm
POL,ok_ADM2,gadm
PRK,ok_ADM2,gadm
PRT,ok_ADM2,gadm
PRY,ok_ADM2,gadm
QAT,ok_ADM2,geoboundaries
ROU,ok_ADM2,gadm
RUS,ok_ADM2,gadm
RWA,ok_ADM2,gadm
SAU,ok_ADM2,gadm
SDN,ok_ADM2,gadm
SEN,ok_ADM2,gadm
SGP,ok_ADM2,geoboundaries
SLB,ok_ADM2,gadm
SLE,ok_ADM2,gadm
SLV,ok_ADM2,gadm
SOM,ok_ADM2,gadm
SRB,ok_ADM2,gadm
SSD,ok_ADM2,gadm
SUR,ok_ADM2,gadm
SVK,ok_ADM2,gadm
SVN,ok_ADM2,gadm
SWE,ok_ADM2,gadm
SWZ,ok_ADM2,gadm
SYR,ok_ADM2,gadm
TCD,ok_ADM2,gadm
TGO,ok_ADM2,gadm
THA,ok_ADM2,gadm
TJK,ok_ADM2,gadm
TKM,ok_ADM2,gadm
TLS,ok_ADM2,gadm
TTO,ok_ADM1,gadm
TUN,ok_ADM2,gadm
TUR,ok_ADM2,gadm
TWN,ok_ADM2,gadm
TZA,ok_ADM2,gadm
UGA,ok_ADM2,gadm
UKR,ok_ADM2,gadm
URY,ok_ADM2,gadm
USA,ok_ADM2,gadm
UZB,ok_ADM2,gadm
