idacr	leader	plad_id	archigos_id	startdate	enddate	startyear	endyear	adm0	adm1	adm2	country	continent	latitude	longitude	geoname	geo_precision	foreign_leader	ethnicity1	ethnicity2	ethnicity_geoepr1	ethnicity_geoepr2	ethnicitysource1	ethnicitysource2	ethnicity_precision	entry	exit	gender	yrborn	birthdate	uid	id_0	id_1	id_2	gid_0	gid_1	gid_2	edu_name	edu_r	birthplace_comment_external	ethnicity_comment_external
"AFG"	"Najibullah"	"AFG_1986_1"	"8243611b-1e42-11e4-b4cd-db5882bf8def"	1986-05-04	1992-04-16	1986.0	1992.0	"Afghanistan"	"Paktya"	"Gardez"	"Afghanistan"	"Asia"	33.60134	69.24159	"Gardez"	1	"0"	"Pashtun"	"."	"Pashtuns"	"."	"https://www.washingtonpost.com/archive/politics/1986/05/13/afghan-leader-had-scrappy-partisan-past/ea703575-37d4-4524-972b-2ba9206c4e30/??noredirect=on"	"https://dailytimes.com.pk/103139/dr-mohammed-najibullah-the-afghan-prometheus/"	2	"Irregular"	"Irregular"	"M"	1947	1947-08-06	"184964"	"1"	"26"	"262"	"AFG"	"AFG.26_1"	"AFG.26.4_1"	"."	8	"."	"."
"AFG"	"Mojadidi"	"AFG_1992_1"	"8243611c-1e42-11e4-b4cd-db5882bf8def"	1992-04-28	1992-06-28	1992.0	1992.0	"Afghanistan"	"Kabul"	"Kabul City"	"Afghanistan"	"Asia"	34.52813	69.17233	"Kabul"	1	"0"	"Pashtun"	"."	"Pashtuns"	"."	"http://www.afghan-bios.info/index.php?option=com_afghanbios&id=1085&task=view&total=2314&start=1266&Itemid=2"	"."	2	"Irregular"	"Regular"	"M"	1926		"184611"	"1"	"14"	"144"	"AFG"	"AFG.14_1"	"AFG.14.6_1"	"Degree in arabic and islamic law"	6	"."	"."
"AFG"	"Burhanuddin Rabbani"	"AFG_1992_2"	"8243611d-1e42-11e4-b4cd-db5882bf8def"	1992-06-28	1996-09-27	1992.0	1996.0	"Afghanistan"	"Badakhshan"	"."	"Afghanistan"	"Asia"	36.73477	70.812	"Badakshan Province"	4	"0"	"Tajik"	"."	"Tajiks"	"."	"https://www.theguardian.com/world/2011/sep/21/burhanuddin-rabbani-obituary"	"https://www.bbc.com/news/world-south-asia-14992229"	1	"Regular"	"Irregular"	"M"	1939		"."	"1"	"1"	"."	"AFG"	"AFG.1_1"	"."	"."	7	"."	"."
"AFG"	"Mullah Omar"	"AFG_1996_1"	"8243611e-1e42-11e4-b4cd-db5882bf8def"	1996-09-27	2001-11-13	1996.0	2001.0	"Afghanistan"	"Kandahar"	"Khakrez"	"Afghanistan"	"Asia"	32.01075	65.50335	"in the village of Chah-e Himmat,"	3	"0"	"Pashtun"	"."	"Pashtuns"	"."	"https://www.britannica.com/biography/Mohammad-Omar"	"https://www.washingtonpost.com/world/mullah-mohammad-omar-taliban-leader-said-to-have-died-in-2013/2015/07/29/1dd546bc-3606-11e5-9d0f-7865a67390ee_story.html"	1	"Irregular"	"Irregular"	"M"	1959		"185456"	"1"	"15"	"158"	"AFG"	"AFG.15_1"	"AFG.15.6_1"	"."	1	"."	"."
"AFG"	"Hamid Karzai"	"AFG_2001_1"	"8243611f-1e42-11e4-b4cd-db5882bf8def"	2001-12-22	2014-09-29	2001.0	2014.0	"Afghanistan"	"Kandahar"	"Kandahar City"	"Afghanistan"	"Asia"	31.57178	65.72946	"Karz"	1	"0"	"Pashtun"	"."	"Pashtuns"	"."	"https://www.bbc.com/news/world-south-asia-14141232"	"http://www.afghan-bios.info/index.php?option=com_afghanbios&id=846&task=view&total=5&start=2&Itemid=14"	2	"Foreign Imposition"	"Regular"	"M"	1957	1957-12-24	"185590"	"1"	"15"	"157"	"AFG"	"AFG.15_1"	"AFG.15.5_1"	"."	7	"."	"."
"AFG"	"Ashraf Ghani Ahmadzai"	"AFG_2014_1"	"14a038b0-aae0-11e4-b3bc-29f2fa19767e"	2014-09-29	2021-08-14	2014.0	2021.0	"Afghanistan"	"Kabul"	"Khaki Jabar"	"Afghanistan"	"Asia"	34.35397	69.40878	"Malang"	1	"0"	"Pashtun"	"."	"Pashtuns"	"."	"http://enacademic.com/dic.nsf/enwiki/2584607"	"https://www.spokeo.com/Ahmad-Ahmadzai"	2	"Regular"	"Irregular"	"M"	1949	1949-05-19	"184674"	"1"	"14"	"146"	"AFG"	"AFG.14_1"	"AFG.14.8_1"	"PhD in anthropology"	8	"."	"."
"AFG"	"Hibatullah Akhundzada"	"AFG_2021_1"	"."	2021-08-14	2023-12-31	2021.0	2023.0	"Afghanistan"	"Kandahar"	"Panjwayi"	"Afghanistan"	"Asia"	31.5	65.43	"Sperwan"	1	"0"	"Pashtun"	"."	"Pashtuns"	"."	"https://www.bbc.com/news/world-asia-36375975"	"https://www.eastasiaforum.org/2022/10/20/taliban-leaders-still-lack-legitimacy/"	1	"Irregular"	"Still in Office"	"M"			"."	"."	"."	"."	"AFG"	"AFG.15_1"	"AFG.15.9_1"	"."	2	"."	"."
"ALB"	"Alia"	"ALB_1985_1"	"821a8f09-1e42-11e4-b4cd-db5882bf8def"	1985-04-13	1992-04-03	1985.0	1992.0	"Albania"	"Shkod��r"	"Shkodr��s"	"Albania"	"Europe"	42.06828	19.51258	"Shkod��r"	1	"0"	"Albanian"	"."	"Albanians"	"."	"https://www.nytimes.com/2011/10/08/world/europe/ramiz-alia-former-ruler-of-albania-dies-at-85.html"	"https://www.britannica.com/biography/Ramiz-Alia"	2	"Regular"	"Regular"	"M"	1925	1925-10-18	"108402"	"4"	"10"	"32"	"ALB"	"ALB.10_1"	"ALB.10.3_1"	"."	5	"."	"."
"ALB"	"Berisha"	"ALB_1992_1"	"35b38fe8-3bbd-11e5-afeb-eb6f07f9fec7"	1992-04-09	1997-07-24	1992.0	1997.0	"Albania"	"Kuk��s"	"Tropoj��s"	"Albania"	"Europe"	42.386944	20.175833	"Vi��idol"	1	"0"	"Albanian"	"."	"Albanians"	"."	"http://president.al/en/prof-dr-sali-berisha/"	"https://www.thefamouspeople.com/profiles/sali-berisha-6882.php"	2	"Regular"	"Regular"	"M"	1944	1944-10-15	"106502"	"4"	"8"	"25"	"ALB"	"ALB.8_1"	"ALB.8.3_1"	"PhD in medicine"	8	"."	"."
"ALB"	"Fatos Nano"	"ALB_1997_1"	"821abfda-1e42-11e4-b4cd-db5882bf8def"	1997-07-24	1998-10-02	1997.0	1998.0	"Albania"	"Tiran��"	"Tiran��s"	"Albania"	"Europe"	41.3275	19.81889	"Tirana"	1	"0"	"Albanian"	"."	"Albanians"	"."	"https://en.wikipedia.org/wiki/Fatos_Nano"	"https://www.thefamouspeople.com/profiles/fatos-nano-6872.php"	2	"Regular"	"Regular"	"M"	1952	1952-09-16	"112142"	"4"	"11"	"34"	"ALB"	"ALB.11_1"	"ALB.11.2_1"	"PhD in political economy"	8	"."	"."
